object,index,x,y,z,nx,ny,nz,H,K,k1,k2
Torus,0,1.25,0.0,0.0,1.0,-5.079452307654719e-07,-2.1834807739651296e-06,4.101951422961303,2.775245674020076,7.850385736419948,0.35351710950265813
Torus,1,1.2165063619613647,0.0,0.125,0.8686686158180237,8.854937050273293e-07,0.49539363384246826,4.063315327336284,2.4873903897476977,7.808063791468189,0.31856686320437744
Torus,2,1.125,0.0,0.21650634706020355,0.5079931616783142,-1.3090942729832022e-07,0.8613610863685608,5.430092170471822,2.1886430604208074,10.654769951866438,0.20541438907720533
Torus,3,1.0,0.0,0.25,0.010778669267892838,4.4105169649810705e-07,0.9999418258666992,4.016591105945668,-5.384698265888426e-07,8.033182278922036,-6.703069921343285e-08
Torus,4,0.875,0.0,0.21650634706020355,-0.49182984232902527,-1.392713926406941e-07,0.8706913590431213,3.452008522376866,-2.278181622168005,7.219573314219273,-0.31555626946554094
Torus,5,0.7834936380386353,0.0,0.125,-0.8632821440696716,-8.831091236061184e-07,0.5047215819358826,2.5255804523509857,-3.7769719190515403,5.712354454433491,-0.6611935497315198
Torus,6,0.75,0.0,3.0616171314629196e-17,-1.0,0.0,0.0,4.109494357475401,-8.001488280336082,9.09842532056341,-0.8794366056126073
Torus,7,0.7834936380386353,0.0,-0.125,-0.8632821440696716,8.849362984619802e-07,-0.5047216415405273,2.525580639758601,-3.7769718913666837,5.7123547860215815,-0.6611935065043792
Torus,8,0.875,0.0,-0.21650634706020355,-0.49182984232902527,1.3209402993652475e-07,-0.8706913590431213,3.4520083606779233,-2.2781815553654043,7.219572995499162,-0.31555627414331466
Torus,9,1.0,0.0,-0.25,0.010778667405247688,-4.491851939292246e-07,-0.9999418258666992,4.016591112760598,-5.384697740308984e-07,8.033182292551889,-6.70306921080055e-08
Torus,10,1.125,0.0,-0.21650634706020355,0.5079931616783142,1.262782092226189e-07,-0.8613610863685608,5.430092134246959,2.1886430952489673,10.654769874659445,0.2054143938344719
Torus,11,1.2165063619613647,0.0,-0.125,0.86866694688797,-3.723217067985729e-09,-0.49539661407470703,4.777512427486154,2.9245854659755772,9.238458462668497,0.3165663923038107
Torus,12,1.239306092262268,0.16315771639347076,0.0,0.9914448857307434,0.1305263191461563,2.984280911277892e-08,4.773287904371053,3.2294753467286585,9.195369096670257,0.35120671207184984
